일자,합계 : 종가,합계 : 대비,합계 : 등락률,합계 : 시가,합계 : 고가,합계 : 저가,합계 : 거래량,합계 : 거래대금,합계 : 시가총액,합계 : 상장주식수
2011-01-03,390500,-500,-0.13,393000,393500,387500,220191,86091287500,2.58789E+13,66271100
2011-02-01,412500,-7500,-1.79,421500,423000,412000,256793,1.0738E+11,2.73368E+13,66271100
2011-03-02,383500,11500,3.09,364500,389000,364500,318057,1.21542E+11,2.5415E+13,66271100
2011-04-01,458000,-2000,-0.43,455500,459000,451000,251640,1.14443E+11,3.03522E+13,66271100
2011-05-02,540000,10000,1.89,522000,541000,522000,256748,1.37385E+11,3.57864E+13,66271100
2011-06-01,531000,-4000,-0.75,534000,539000,526000,260609,1.38631E+11,3.519E+13,66271100
2011-07-01,498000,10000,2.05,496500,502000,491500,217623,1.08295E+11,3.3003E+13,66271100
2011-08-01,485500,15500,3.3,475500,487500,475500,270438,1.30845E+11,3.21746E+13,66271100
2011-09-01,380000,1500,0.4,387000,394000,377000,527003,2.03303E+11,2.5183E+13,66271100
2011-10-04,294000,-27000,-8.41,298500,301000,283000,866824,2.52384E+11,1.94837E+13,66271100
2011-11-01,365500,1500,0.41,360000,373500,358000,282541,1.03825E+11,2.42221E+13,66271100
2011-12-01,346500,24000,7.44,346000,352000,339500,765898,2.64712E+11,2.29629E+13,66271100
2012-01-02,320000,2500,0.79,318000,321000,313500,187161,59402041500,2.12068E+13,66271100
2012-02-01,388000,14000,3.74,375000,390000,373500,419355,1.62014E+11,2.57132E+13,66271100
2012-03-02,404000,5500,1.38,403000,408000,401000,220223,89179393500,2.67735E+13,66271100
2012-04-02,366500,-3500,-0.95,374500,375000,363500,274421,1.00966E+11,2.42884E+13,66271100
2012-05-02,293500,9000,3.16,287000,300000,285500,3062946,8.76713E+11,1.94506E+13,66271100
2012-06-01,282000,-9000,-3.09,287000,289500,279500,388904,1.09982E+11,1.86885E+13,66271100
2012-07-02,291000,-1000,-0.34,296000,297500,291000,314698,92673567797,1.92849E+13,66271100
2012-08-01,310000,-4000,-1.27,310000,313000,307000,287071,88808670500,2.0544E+13,66271100
2012-09-03,305000,4000,1.33,302500,306500,298000,219364,66667813500,2.02127E+13,66271100
2012-10-02,336000,4500,1.36,331500,339500,331000,282832,95408250000,2.22671E+13,66271100
2012-11-01,306000,0,0,303500,307500,299500,275266,83669426000,2.0279E+13,66271100
2012-12-03,314000,2000,0.64,312000,315000,308000,144530,45210478500,2.08091E+13,66271100
2013-01-02,340000,10000,3.03,334500,341000,334000,284977,96618393000,2.25322E+13,66271100
2013-02-01,302500,-2000,-0.66,305500,306000,300500,156588,47329972000,2.0047E+13,66271100
2013-03-04,287500,-9000,-3.04,295000,296500,285500,578425,1.67226E+11,1.90529E+13,66271100
2013-04-01,267500,-500,-0.19,269000,270000,266500,123170,33029674500,1.77275E+13,66271100
2013-05-02,256000,-4000,-1.54,258000,259500,255000,136662,35082574500,1.69654E+13,66271100
2013-06-03,275000,1500,0.55,272500,279000,272000,421349,1.16455E+11,1.82246E+13,66271100
2013-07-01,252500,-500,-0.2,249000,256000,248500,205569,52072370000,1.67335E+13,66271100
2013-08-01,288000,6000,2.13,284000,289000,280000,234181,67064155500,1.90861E+13,66271100
2013-09-02,288000,500,0.17,287500,289500,287500,132751,38348782700,1.90861E+13,66271100
2013-10-01,303500,-4000,-1.3,305000,310500,302500,232436,71068006000,2.01133E+13,66271100
2013-11-01,295000,-4500,-1.5,304000,304000,291500,248207,72975384500,1.955E+13,66271100
2013-12-02,288500,-2000,-0.69,291500,293000,286500,104253,30105267000,1.91192E+13,66271100
2014-01-02,292000,-7500,-2.5,300500,303000,290500,180305,53217071500,1.93512E+13,66271100
2014-02-03,254000,-6000,-2.31,256000,259500,253000,268619,68450844500,1.68329E+13,66271100
2014-03-03,252500,-2000,-0.79,253500,254000,250000,173453,43588061000,1.67335E+13,66271100
2014-04-01,263500,9500,3.74,254000,263500,254000,579438,1.51363E+11,1.74624E+13,66271100
2014-05-02,264000,1000,0.38,265000,266500,263500,113739,30096881500,1.74956E+13,66271100
2014-06-02,265500,5500,2.12,261000,267000,261000,193647,51412874500,1.7595E+13,66271100
2014-07-01,294000,-2000,-0.68,297000,297000,291500,136884,40174841500,1.94837E+13,66271100
2014-08-01,290000,-1000,-0.34,290000,293000,289000,153376,44684648000,1.92186E+13,66271100
2014-09-01,270000,500,0.19,269500,273500,269000,92519,25019442000,1.78932E+13,66271100
2014-10-01,249000,-6500,-2.54,251500,258500,247500,298996,75060978000,1.65015E+13,66271100
2014-11-03,190000,-10000,-5,200500,200500,188000,491064,93549935500,1.25915E+13,66271100
2014-12-01,195500,-11000,-5.33,201500,202500,193500,453197,89056813000,1.2956E+13,66271100
2015-01-02,180000,-1000,-0.55,179500,180500,177000,231092,41338851000,1.19288E+13,66271100
2015-02-02,205500,7000,3.53,202500,208500,201500,336294,69290329500,1.36187E+13,66271100
2015-03-02,234000,4000,1.74,233000,236500,229500,282395,66067629500,1.55074E+13,66271100
2015-04-01,225000,-1000,-0.44,228000,228000,222000,113762,25610299500,1.4911E+13,66271100
2015-05-04,278500,5500,2.01,277500,279500,273500,110318,30609155000,1.84565E+13,66271100
2015-06-01,250500,1000,0.4,253000,254000,248500,142698,35778444000,1.66009E+13,66271100
2015-07-01,281000,2500,0.9,280000,283000,277000,125288,35244194500,1.86222E+13,66271100
2015-08-03,237000,-13000,-5.2,245000,246000,234000,259301,61433837500,1.57063E+13,66271100
2015-09-01,230500,-3500,-1.5,240000,242500,230000,232544,54832416500,1.52755E+13,66271100
2015-10-01,288000,2500,0.88,282500,288500,278000,390644,1.11629E+11,1.90861E+13,66271100
2015-11-02,314500,10000,3.28,303500,315000,303500,232306,72415698000,2.08423E+13,66271100
2015-12-01,322000,4000,1.26,318000,324500,318000,159183,51165956500,2.13393E+13,66271100
2016-01-04,341500,13000,3.96,332500,344500,329000,316361,1.07712E+11,2.26316E+13,66271100
2016-02-01,289000,-6500,-2.2,290000,292500,286000,352393,1.0182E+11,1.91523E+13,66271100
2016-03-02,312000,12000,4,305000,315000,304000,431708,1.33763E+11,2.06766E+13,66271100
2016-04-01,317500,-10000,-3.05,325500,326000,315000,266621,85174803000,2.10411E+13,66271100
2016-05-02,296000,-1000,-0.34,295000,299000,294000,109497,32502494500,1.96162E+13,66271100
2016-06-01,269500,-1500,-0.55,270000,272500,269000,220614,59652375500,1.78601E+13,66271100
2016-07-01,258000,-2000,-0.77,259000,259500,256000,152999,39396546500,1.70979E+13,66271100
2016-08-01,257000,13500,5.54,244000,257000,244000,362747,91360265500,1.70317E+13,66271100
2016-09-01,270000,-500,-0.18,271500,271500,267000,149894,40323930000,1.78932E+13,66271100
2016-10-04,237500,-4000,-1.66,243000,243000,237000,252151,60205213000,1.57394E+13,66271100
2016-11-01,244500,-2000,-0.81,245500,246000,240500,149572,36396719468,1.62033E+13,66271100
2016-12-01,229500,3000,1.32,230000,231000,227000,182583,41846294000,1.52092E+13,66271100
2017-01-02,253000,-8000,-3.07,250000,255000,247500,294947,74160878000,1.67666E+13,66271100
2017-02-01,272500,10500,4.01,265000,273000,265000,249084,67156390000,1.92364E+13,70592343
2017-03-02,287500,4500,1.59,286000,288000,282000,411436,1.17543E+11,2.02953E+13,70592343
2017-04-03,293000,-1000,-0.34,296000,297000,290500,206581,60502323500,2.06836E+13,70592343
2017-05-02,275000,1000,0.36,273500,278500,273500,237946,65592504004,1.94129E+13,70592343
2017-06-01,303000,1000,0.33,301000,305500,301000,196318,59543221500,2.13895E+13,70592343
2017-07-03,296500,5500,1.89,294000,297500,293000,356166,1.05411E+11,2.09306E+13,70592343
2017-08-01,333000,5000,1.52,328500,335000,328000,228563,76112742500,2.35073E+13,70592343
2017-09-01,373000,-6000,-1.58,378000,379000,372000,183132,68604120500,2.63309E+13,70592343
2017-10-10,393000,1000,0.26,396500,398500,387000,406615,1.6029E+11,2.77428E+13,70592343
2017-11-01,414500,11000,2.73,407000,419000,405500,336389,1.38835E+11,2.92605E+13,70592343
2017-12-01,412000,-5500,-1.32,412000,416000,407000,547839,2.2562E+11,2.9084E+13,70592343
2018-01-02,411000,6000,1.48,407000,415000,406500,153739,63093271500,2.90135E+13,70592343
2018-02-01,418500,-13500,-3.13,434500,440000,418500,392278,1.66962E+11,2.95429E+13,70592343
2018-03-02,383500,500,0.13,385000,385500,379000,184855,70569777000,2.70722E+13,70592343
2018-04-02,387500,2000,0.52,394000,398500,387000,161454,63440590000,2.73545E+13,70592343
2018-05-02,339000,-21000,-5.83,356000,358500,338500,523971,1.80632E+11,2.39308E+13,70592343
2018-06-01,337000,-1500,-0.44,338000,340000,332500,109544,36992326000,2.37896E+13,70592343
2018-07-02,317500,-16000,-4.8,332500,335000,316000,370321,1.19633E+11,2.24131E+13,70592343
2018-08-01,374500,-500,-0.13,376500,382500,368500,274139,1.02432E+11,2.64368E+13,70592343
2018-09-03,368000,2000,0.55,365500,370500,360500,201113,73864177760,2.5978E+13,70592343
2018-10-01,368500,3000,0.82,365500,372000,365500,168059,62023523500,2.60133E+13,70592343
2018-11-01,339000,-8000,-2.31,350000,352500,338500,209045,72091866000,2.39308E+13,70592343
2018-12-03,365000,19500,5.64,351500,366000,351500,327930,1.18625E+11,2.57662E+13,70592343
2019-01-02,337000,-10000,-2.88,351000,353500,335500,227694,77836925500,2.37896E+13,70592343
2019-02-01,368000,0,0,369500,373000,367000,186088,68713984500,2.5978E+13,70592343
2019-03-04,387000,-3500,-0.9,395000,400000,385500,272909,1.06969E+11,2.73192E+13,70592343
2019-04-01,370500,4500,1.23,367000,376000,366500,170894,63586807000,2.61545E+13,70592343
2019-05-02,359000,-2000,-0.55,357500,364000,357500,260801,93943508085,2.53427E+13,70592343
2019-06-03,337000,4000,1.2,330000,337000,328500,156208,52093221000,2.37896E+13,70592343
2019-07-01,355000,500,0.14,360000,360000,353000,113228,40306646000,2.50603E+13,70592343
2019-08-01,332500,-5000,-1.48,338500,339000,332500,129913,43482865000,2.3472E+13,70592343
2019-09-02,321500,-9000,-2.72,322000,324000,315500,227172,72677790000,2.26954E+13,70592343
2019-10-04,296000,-500,-0.17,297500,302000,296000,167424,50113823000,2.08953E+13,70592343
2019-11-01,309000,1500,0.49,308000,309000,305000,86443,26597366000,2.1813E+13,70592343
2019-12-02,309000,2500,0.82,308000,311000,306000,123351,38134653000,2.1813E+13,70592343
2020-01-02,314000,-3500,-1.1,321000,321000,313500,139496,44181115500,2.2166E+13,70592343
2020-02-03,350000,12500,3.7,328500,351500,325500,594448,2.03914E+11,2.47073E+13,70592343
2020-03-02,377000,9000,2.45,368500,385000,362500,514325,1.92866E+11,2.66133E+13,70592343
2020-04-01,292000,-13000,-4.26,305000,307000,292000,599459,1.80102E+11,2.0613E+13,70592343
2020-05-04,360000,-16500,-4.38,361000,366000,358000,669179,2.4175E+11,2.54132E+13,70592343
2020-06-01,396000,5500,1.41,391000,401000,389500,401656,1.59132E+11,2.79546E+13,70592343
2020-07-01,491500,1000,0.2,499000,503000,491000,357203,1.77715E+11,3.46961E+13,70592343
2020-08-03,635000,67000,11.8,578000,650000,577000,1715295,1.06025E+12,4.48261E+13,70592343
2020-09-01,743000,3000,0.41,741000,753000,723000,645681,4.77366E+11,5.24501E+13,70592343
2020-10-05,659000,5000,0.76,670000,670000,648000,443499,2.91628E+11,4.65204E+13,70592343
2020-11-02,623000,12000,1.96,609000,625000,588000,505856,3.07454E+11,4.3979E+13,70592343
2020-12-01,809000,9000,1.13,808000,816000,794000,404022,3.24593E+11,5.71092E+13,70592343
2021-01-04,889000,65000,7.89,849000,900000,835000,858451,7.4793E+11,6.27566E+13,70592343
2021-02-01,950000,33000,3.6,923000,950000,905000,401253,3.75021E+11,6.70627E+13,70592343
2021-03-02,891000,60000,7.22,863000,905000,857000,697301,6.19911E+11,6.28978E+13,70592343
2021-04-01,819000,14000,1.74,817000,822000,811000,361295,2.95112E+11,5.78151E+13,70592343
2021-05-03,907000,-25000,-2.68,935000,935000,899000,344795,3.13086E+11,6.40273E+13,70592343
2021-06-01,825000,6000,0.73,818000,830000,818000,175369,1.44578E+11,5.82387E+13,70592343
2021-07-01,845000,-5000,-0.59,851000,870000,843000,327945,2.81334E+11,5.96505E+13,70592343
2021-08-02,864000,22000,2.61,848000,865000,830000,314349,2.67457E+11,6.09918E+13,70592343
2021-09-01,721000,-37000,-4.88,763000,766000,721000,906907,6.66642E+11,5.08971E+13,70592343
2021-10-01,770000,-6000,-0.77,778000,781000,764000,231735,1.78946E+11,5.43561E+13,70592343
2021-11-01,832000,-4000,-0.48,849000,849000,825000,219710,1.83542E+11,5.87328E+13,70592343
2021-12-01,718000,24000,3.46,702000,722000,696000,251126,1.78341E+11,5.06853E+13,70592343
총 합계,50370500,263500,35.08,50286500,51143500,49489000,43061850,1.77152E+13,3.46007E+15,9002738537
